NAME Con200

MAXTIME 390
DAYS 5

FLEET SIZE 11
VEHICLE TYPES 5
TYPE1 2 280 280 1.8 1
TYPE2 2 250 250 1.7 1
TYPE3 3 200 200 1.4 1
TYPE4 3 180 180 1.6 1
TYPE5 1 150 130 1.2 1

CUSTOMERS 200

DEPOT 0 0

CUSTOMERCOORDINATES
-13 -13 10 
1 -9 10 
-14 10 10 
10 0 10 
20 -15 10 
-2 -1 10 
15 15 10 
20 10 10 
-9 24 10 
5 31 0 10
20 30 10 
0 16 10 
27 0 10 
27 22 10 
27 -11 10 
-14 1 10 
-2 9 10 
-26 21 10 
27 13 10 
31 -21 10 
9 -22 10 
-9 -22 10 
-24 -7 10 
-28 8 10 
-18 29 10 
6 11 10 
20 -1 10 
0 -19 10 
17 -9 10 
8 -9 10 
-4 41 10 
-13 18 10 
-9 -6 10 
15 5 10 
20 15 10 
19 -25 10 
25 -20 10 
12 31 10 
-5 25 10 
-5 15 10 
-23 -18 10 
-20 -21 10 
-19 -16 10 
-14 13 10 
15 -5 10 
16 7 10 
15 -20 10 
13 -14 10 
-23 3 10 
2 17 10 
14 14 10 
17 29 10 
-15 -9 10 
5 -5 10 
-14 12 10 
-18 28 10 
-4 27 10 
17 -2 10 
16 -14 10 
7 6 10 
-4 -3 10 
-30 -10 10 
-23 7 10 
1 -19 10 
17 6 10 
-8 -12 10 
-18 -2 10 
-22 -22 10 
22 23 10 
27 7 10 
7 22 10 
-19 22 10 
-27 17 10 
-28 3 10 
-8 33 10 
-5 13 10 
8 32 10 
23 13 10 
23 -8 10 
2 34 10 
3 11 10 
11 -25 10 
26 -2 10 
27 28 10 
28 34 10 
-3 -13 10 
10 0 10 
24 -20 10 
-30 -29 10 
-25 -18 10 
-14 -25 10 
-30 29 10 
-5 -20 10 
4 -25 10 
-3 4 10 
-10 -3 10 
-10 20 10 
13 -7 10 
21 2 10 
6 14 10 
0 -18 10 
20 10 10 
20 -15 10 
-20 -5 10 
-10 -5 10 
-15 15 10 
-25 8 10 
20 25 10 
-5 25 10 
-15 30 10 
15 0 10 
-5 -10 10 
-20 -25 10 
-5 -30 10 
-25 -15 10 
-30 -5 10 
-15 5 10 
-20 25 10 
10 30 10 
10 -15 10 
10 -25 10 
20 -30 10 
30 0 10 
30 -15 10 
10 -5 10 
0 5 10 
6 2 10 
29 7 10 
5 25 10 
-4 17 10 
0 34 10 
18 17 10 
30 20 10 
28 30 10 
-33 25 10 
-15 -15 10 
-30 -30 10 
25 -23 10 
5 -10 10 
7 -28 10 
-11 -23 10 
-12 -32 10 
-24 -21 10 
-29 3 10 
-33 13 10 
-27 21 10 
-22 17 10 
-29 33 10 
12 12 10 
14 23 10 
-8 8 10 
2 -4 10 
22 -6 10 
28 -12 10 
18 -23 10 
-3 -23 10 
1 -9 10 
-14 -11 10 
-18 -1 10 
-23 -11 10 
-11 23 10 
-8 34 10 
-20 42 10 
27 42 10 
14 38 10 
32 -30 10 
21 4 10 
2 12 10 
2 21 10 
22 33 10 
12 -19 10 
9 -18 10 
11 -22 10 
14 -24 10 
14 7 10 
18 8 10 
26 17 10 
22 13 10 
21 2 10 
20 19 10 
-20 12 10 
-21 2 10 
-24 -4 10 
-19 -13 10 
-31 -17 10 
-7 -17 10 
-9 17 10 
-9 0 10 
-4 32 10 
-20 -16 10 
-13 -13 10 
-17 -11 10 
-9 -8 10 
-10 -11 10 
-13 -8 10 
-10 -14 10 
-16 -14 10 
-15 -9 10 
-17 -17 10 

CUSTOMERDEMANDS 
1 18 18 18 18 0
2 26 26 26 26 26
3 11 0 11 11 11
4 0 30 30 30 0
5 21 21 21 21 21
6 0 19 19 19 0
7 15 15 0 15 15
8 16 0 16 0 16
9 0 0 0 29 29
10 0 0 0 10 0
11 37 37 37 37 0
12 0 16 0 16 16
13 0 12 0 0 0
14 31 0 0 0 0
15 8 8 8 8 0
16 19 19 19 19 19
17 20 20 20 20 20
18 0 13 0 0 0
19 15 15 0 15 15
20 22 22 22 0 22
21 0 28 28 0 28
22 12 0 12 0 12
23 0 6 0 0 0
24 27 0 27 0 27
25 14 14 14 14 14
26 0 18 18 0 18
27 0 17 17 17 17
28 29 29 29 29 29
29 13 13 13 13 0
30 22 22 22 0 22
31 25 25 25 25 25
32 0 28 28 0 0
33 0 0 0 0 27
34 0 19 19 19 19
35 10 0 10 0 0
36 12 0 12 12 12
37 0 0 0 14 14
38 24 24 0 0 24
39 16 16 16 0 16
40 33 33 0 0 33
41 15 0 0 15 15
42 11 0 0 0 0
43 18 18 0 18 18
44 0 0 0 0 17
45 0 0 21 0 0
46 27 27 27 27 27
47 19 0 0 0 0
48 0 20 0 20 20
49 5 0 5 0 5
50 7 0 7 0 0
51 30 30 30 30 30
52 16 16 16 16 16
53 0 9 9 0 9
54 0 21 21 0 21
55 0 0 0 0 15
56 19 19 19 19 19
57 23 23 23 0 23
58 0 11 0 0 0
59 5 0 0 0 5
60 19 19 0 19 0
61 0 29 0 0 0
62 23 23 23 23 23
63 21 0 21 21 21
64 0 10 0 10 10
65 0 15 15 15 15
66 0 3 3 3 0
67 0 41 41 0 41
68 9 9 0 9 0
69 28 28 28 28 0
70 8 8 8 8 8
71 8 8 8 8 0
72 16 16 0 0 0
73 0 10 0 0 0
74 28 0 28 0 28
75 7 7 0 7 0
76 0 0 0 15 15
77 0 0 14 0 0
78 6 6 0 0 0
79 19 19 0 19 19
80 0 0 0 11 11
81 0 0 12 0 0
82 23 0 23 23 23
83 26 26 0 26 26
84 17 0 0 0 17
85 6 6 6 0 0
86 9 9 9 9 9
87 15 15 15 0 0
88 14 14 14 14 14
89 7 7 7 0 7
90 27 0 0 0 0
91 13 13 13 13 0
92 11 0 0 0 11
93 0 0 0 16 0
94 0 0 10 10 10
95 5 5 5 0 5
96 0 0 25 25 25
97 0 0 17 0 0
98 18 18 0 0 18
99 10 10 10 10 10
100 10 10 10 10 10
101 0 7 7 7 7
102 0 13 0 13 13
103 0 19 0 0 0
104 26 26 0 26 26
105 0 0 3 0 0
106 0 5 5 0 5
107 9 0 9 9 9
108 0 0 16 0 0
109 16 16 16 16 16
110 12 0 12 12 12
111 19 19 19 19 19
112 0 0 23 23 23
113 0 20 20 20 20
114 8 0 0 8 8
115 19 0 0 19 0
116 2 2 0 2 2
117 0 12 12 12 12
118 17 0 17 0 17
119 0 0 9 9 9
120 11 0 11 0 0
121 18 18 18 18 18
122 0 29 29 29 0
123 3 0 0 0 0
124 6 6 6 0 6
125 17 0 0 17 0
126 16 16 16 16 16
127 16 0 0 16 0
128 9 0 0 0 0
129 0 21 21 21 21
130 0 0 27 0 27
131 23 0 23 0 23
132 11 0 11 11 11
133 14 14 14 14 14
134 0 0 0 0 8
135 5 5 5 5 0
136 8 8 8 0 0
137 0 16 0 0 0
138 31 31 31 0 0
139 9 0 0 9 9
140 0 5 5 5 5
141 0 5 5 5 5
142 0 7 7 7 7
143 18 0 18 18 18
144 16 16 16 16 0
145 1 1 1 1 1
146 27 27 27 27 0
147 0 36 36 36 0
148 0 30 30 30 30
149 13 13 13 13 0
150 10 10 0 0 10
151 9 9 9 9 9
152 14 14 14 14 0
153 0 18 18 18 0
154 0 2 2 0 2
155 6 6 6 6 6
156 0 7 7 7 0
157 0 0 18 18 18
158 28 0 28 28 28
159 3 3 0 0 3
160 0 13 0 13 13
161 0 0 19 19 19
162 10 10 0 0 10
163 9 9 9 9 0
164 20 20 0 20 0
165 0 25 0 0 0
166 25 25 25 25 0
167 36 36 0 0 36
168 6 6 6 6 6
169 5 0 5 5 0
170 15 15 0 0 15
171 0 0 25 0 0
172 0 9 9 0 9
173 8 8 8 8 8
174 0 18 18 18 18
175 13 13 13 13 0
176 14 0 14 0 14
177 3 3 0 3 3
178 0 0 23 0 0
179 0 6 6 6 6
180 26 26 0 26 0
181 0 16 0 0 0
182 11 11 11 11 11
183 7 7 7 7 0
184 0 41 41 41 0
185 35 35 35 0 35
186 26 26 0 26 26
187 9 9 9 0 9
188 15 15 15 15 0
189 3 3 3 3 3
190 1 0 0 1 1
191 2 2 0 2 2
192 22 0 22 22 22
193 27 27 27 27 27
194 20 0 20 20 20
195 11 0 11 0 11
196 12 12 12 12 12
197 0 0 10 10 10
198 0 9 9 9 9
199 17 17 17 17 0

