NAME HCon151

MAXTIME 310
DAYS 5

FLEET SIZE 11
VEHICLE TYPES 6
TYPE1 2 250 250 1.8 1
TYPE2 3 200 200 1.7 1
TYPE3 2 140 140 1.4 1
TYPE4 2 120 120 1.6 1
TYPE5 1 100 100 1.5 1
TYPE6 1 80 80 1.2 1

CUSTOMERS 151

DEPOT 0 0

CUSTOMERCOORDINATES 
2 17 0 
14 14 0 
17 29 0 
-15 -9 0 
5 -5 0 
-14 12 0 
-18 28 0 
-4 27 0 
17 -2 0 
16 -14 0 
7 6 0 
-4 -3 0 
-30 -10 0 
-23 7 0 
1 -19 0 
17 6 0 
-8 -12 0 
-18 -2 0 
-22 -22 0 
22 23 0 
27 7 0 
7 22 0 
-19 22 0 
-27 17 0 
-28 3 0 
-8 33 0 
-5 13 0 
8 32 0 
23 13 0 
23 -8 0 
2 34 0 
3 11 0 
11 -25 0 
26 -2 0 
27 28 0 
28 34 0 
-3 -13 0 
10 0 0 
24 -20 0 
-30 -29 0 
-25 -18 0 
-14 -25 0 
-30 29 0 
-5 -20 0 
4 -25 0 
-3 4 0 
-10 -3 0 
-10 20 0 
13 -7 0 
21 2 0 
6 14 0 
0 -18 0 
20 10 0 
20 -15 0 
-20 -5 0 
-10 -5 0 
-15 15 0 
-25 8 0 
20 25 0 
-5 25 0 
-15 30 0 
15 0 0 
-5 -10 0 
-20 -25 0 
-5 -30 0 
-25 -15 0 
-30 -5 0 
-15 5 0 
-20 25 0 
10 30 0 
10 -15 0 
10 -25 0 
20 -30 0 
30 0 0 
30 -15 0 
10 -5 0 
0 5 0 
6 2 0 
29 7 0 
5 25 0 
-4 17 0 
0 34 0 
18 17 0 
30 20 0 
28 30 0 
-33 25 0 
-15 -15 0 
-30 -30 0 
25 -23 0 
5 -10 0 
7 -28 0 
-11 -23 0 
-12 -32 0 
-24 -21 0 
-29 3 0 
-33 13 0 
-27 21 0 
-22 17 0 
-29 33 0 
12 12 0 
14 23 0 
-8 8 0 
2 -4 0 
22 -6 0 
28 -12 0 
18 -23 0 
-3 -23 0 
1 -9 0 
-14 -11 0 
-18 -1 0 
-23 -11 0 
-11 23 0 
-8 34 0 
-20 42 0 
27 42 0 
14 38 0 
32 -30 0 
21 4 0 
2 12 0 
2 21 0 
22 33 0 
12 -19 0 
9 -18 0 
11 -22 0 
14 -24 0 
14 7 0 
18 8 0 
26 17 0 
22 13 0 
21 2 0 
20 19 0 
-20 12 0 
-21 2 0 
-24 -4 0 
-19 -13 0 
-31 -17 0 
-7 -17 0 
-9 17 0 
-9 0 0 
-4 32 0 
-20 -16 0 
-13 -13 0 
-17 -11 0 
-9 -8 0 
-10 -11 0 
-13 -8 0 
-10 -14 0 
-16 -14 0 
-15 -9 0 
-17 -17 0 

CUSTOMERDEMANDS
1 7 7 0 7 7
2 30 30 30 30 30
3 0 16 16 16 16
4 9 9 9 0 9
5 0 21 0 0 0
